card_name,qty,is_bulk,tcg_set_name,tcg_h,tcg_m,tcg_l,tcg_date
fleetfeather cockatrice,3,,,,,,
fleetfeather sandals,4,,,,,,
fleeting distraction,1,,,,,,
fleeting memories,2,,,,,,
flesh to dust,,TRUE,,,,,
fleshbag marauder,0,,,,,,
fleshmad steed,,TRUE,,,,,
fleshpulper giant,,TRUE,,,,,
flight,,TRUE,,,,,
fling,3,,,,,,
flitterstep eidolon,3,,,,,,
floating shield,,TRUE,,,,,
flood,1,,,,,,
flooded shoreline,1,,,,,,
flow of ideas,2,,,,,,
flowstone armor,,TRUE,,,,,
flowstone crusher,,TRUE,,,,,
flowstone wall,,TRUE,,,,,
flurry of horn,4,,,,,,
flux,2,,,,,,
fluxcharger,4,,,,,,
flying crane technique,1,,,,,,
fodder launch,1,,,,,,
foe-razer regent,1,,,,,,
fog,6,,,,,,
fog bank,2,,,,,,
folk medicine,,TRUE,,,,,
font of fertility,8,,,,,,
font of fortunes,3,,,,,,
font of ire,5,,,,,,
font of mythos,1,,,,,,
font of return,,TRUE,,,,,
font of vigor,2,,,,,,
fool's demise,2,,,,,,
forbidden alchemy,1,,,,,,
force away,4,,,,,,
force spike,2,,,,,,
forced adaptation,3,,,,,,
forced fruition,1,,,,,,
forced worship,1,,,,,,
forerunner of slaughter,3,,Battle for Zendikar,$1.20 ,$0.21 ,$0.05 ,7/7/2017 10:26
forest (270 full art),,,Battle for Zendikar,$2.27 ,$0.27 ,$0.10 ,7/7/2017 10:26
forest (270),,,Battle for Zendikar,$0.99 ,$0.25 ,$0.16 ,7/7/2017 10:26
forest (271 full art),,,Battle for Zendikar,$2.27 ,$0.26 ,$0.10 ,7/7/2017 10:26
forest (271),,,Battle for Zendikar,$1.99 ,$0.16 ,$0.07 ,7/7/2017 10:26
forest (272 full art),,,Battle for Zendikar,$2.27 ,$0.26 ,$0.10 ,7/7/2017 10:26
forest (272),,,Battle for Zendikar,$1.99 ,$0.15 ,$0.07 ,7/7/2017 10:26
forest (273 full art),,,Battle for Zendikar,$2.27 ,$0.25 ,$0.05 ,7/7/2017 10:26
forest (273),,,Battle for Zendikar,$1.99 ,$0.20 ,$0.09 ,7/7/2017 10:26
forest (274 full art),,,Battle for Zendikar,$2.27 ,$0.27 ,$0.05 ,7/7/2017 10:26
forest (274),,,Battle for Zendikar,$1.99 ,$0.23 ,$0.10 ,7/7/2017 10:26
forge devil,,TRUE,,,,,
forgeborn oreads,3,,,,,,
forgestoker dragon,1,,,,,,
forgotten cave,1,,,,,,
forgotten creation,1,,,,,,
fork in the road,2,,,,,,
forlorn pseudamma,3,,,,,,
formless nurturing,,TRUE,,,,,
forsaken drifters,,TRUE,,,,,
forsaken sanctuary,2,,,,,,
fortified area,1,,,,,,
fortified rampart,,TRUE,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
fortify,,TRUE,,,,,
fortress cyclops,3,,,,,,
foul-tongue invocation,1,,,,,,
foul-tongue shriek,4,,,,,,
foul orchard,1,,,,,,
foul renewal,1,,,,,,
foundry assembler,,TRUE,,,,,
foundry assembler,,TRUE,,,,,
foundry champion,1,,,,,,
foundry of the consuls,3,,,,,,
foundry screecher,,TRUE,,,,,
foundry street denizen,4,,,,,,
foxfire,,TRUE,,,,,
frenzied goblin,3,,,,,,
frenzied tilling,5,,,,,,
frenzy,,TRUE,,,,,
fresh meat,1,,,,,,
friendly fire,,TRUE,,,,,
frightshroud courier,,TRUE,,,,,
frilled oculus,,TRUE,,,,,
from beyond,5,,Battle for Zendikar,$1.99 ,$0.57 ,$0.10 ,7/7/2017 10:26
from the ashes,1,,,,,,
frontier bivouac,5,,,,,,
frontier mastodon,,TRUE,,,,,
frontier siege,3,,,,,,
frontline strategist,4,,,,,,
frost breath,,TRUE,,,,,
frost lynx,4,,,,,,
frost titan,2,,,,,,
frost walker,,TRUE,,,,,
frozen shade,,TRUE,,,,,
fruit of the first tree,1,,,,,,
fugitive wizard,,TRUE,,,,,
funeral pyre,,TRUE,,,,,
fungal sprouting,2,,,,,,
furnace scamp,,TRUE,,,,,
furnace whelp,1,,,,,,
furor of the bitten,2,,,,,,
furtive homunculus,,TRUE,,,,,
future sight,4,,,,,,
fyndhorn brownie,,TRUE,,,,,
fyndhorn elder,1,,,,,,
gaea's herald,1,,,,,,
gaea's revenge,2,,,,,,
gaea's touch,1,,,,,,
"gahiji, honored one",0,,,,,,
gainsay,4,,,,,,
galerider sliver,1,,,,,,
gallows warden,1,,,,,,
galvanic juggernaut,,TRUE,,,,,
gang of devils,,TRUE,,,,,
gargoyle castle,1,,,,,,
gargoyle sentinel,,TRUE,,,,,
garruk's companion,3,,,,,,
garruk's horde,1,,,,,,
garruk's packleader,1,,,,,,
"garruk, apex predator",1,,,,,,
gaseous form,2,,,,,,
gate smasher,,TRUE,,,,,
gatecreeper vine,4,,,,,,
gather courage,,TRUE,,,,,
gather the pack,3,,,,,,
gather the townsfolk,4,,,,,,
gatstaf arsonists,3,,,,,,
gavony ironwright,1,,,,,,
gavony township,1,,,,,,
gaze of granite,1,,,,,,
gaze of the gorgon,2,,,,,,
gearseeker serpent,1,,,,,,
geist of the moors,,TRUE,,,,,
geist snatch,3,,,,,,
geist trappers,,TRUE,,,,,
geistflame,,TRUE,,,,,
gem of becoming,1,,,,,,
gempalm avenger,2,,,,,,
gempalm strider,1,,,,,,
generator servant,3,,,,,,
genesis hydra,1,,,,,,
geyserfield stalker,,TRUE,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
ghazbn ogre,,TRUE,,,,,
ghirapur gearcrafter,3,,,,,,
ghirapur ther grid,,TRUE,,,,,
ghitu slinger,1,,,,,,
ghor-clan rampager,2,,,,,,
ghost council of orzhova,1,,,,,,
ghost quarter,0,,,,,,
ghostblade eidolon,3,,,,,,
ghostfire blade,2,,,,,,
ghosthelm courier,1,,,,,,
ghostly prison,2,,,,,,
ghostly sentinel,,TRUE,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
ghostly wings,4,,,,,,
ghoulcaller's accomplice,,TRUE,,,,,
ghoulcaller's bell,1,,,,,,
ghoulcaller's chant,3,,,,,,
ghoulflesh,,TRUE,,,,,
ghoulraiser,0,,,,,,
ghoulsteed,1,,,,,,
ghoultree,1,,,,,,
giant cockroach,,TRUE,,,,,
giant growth,6,,,,,,
giant mantis,,TRUE,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
giant octopus,,TRUE,,,,,
giant scorpion,,TRUE,,,,,
giant spider,,TRUE,,,,,
giant warthog,,TRUE,,,,,
giantbaiting,,TRUE,,,,,
gibbering fiend,,TRUE,,,,,
gideon's phalanx,1,,,,,,
gideon's reproach,,TRUE,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
"gideon, ally of zendikar",,,Battle for Zendikar,$40.00 ,$15.91 ,$7.99 ,7/7/2017 10:26
gift of estates,1,,,,,,
gift of immortality,1,,,,,,
gift of orzhova,1,,,,,,
gild,0,,,,,,
gisa's bidding,2,,,,,,
gisa and geralf,1,,,,,,
give // take,1,,,,,,
glacial crasher,,TRUE,,,,,
glacial fortress,1,,,,,,
glacial stalker,,TRUE,,,,,
glacial wall,1,,,,,,
glade gnarr,,TRUE,,,,,
glade watcher,,TRUE,,,,,
gladecover scout,4,,,,,,
gladehart cavalry,1,,,,,,
glare of heresy,4,,,,,,
glaring aegis,,TRUE,,,,,
glassblower's puzzleknot,3,,,,,,
glassdust hulk,2,,,,,,
glasses of urza,2,,,,,,
gleam of authority,1,,,,,,
gleam of battle,4,,,,,,
glen elendra liege,1,,,,,,
glimpse the future,2,,,,,,
glimpse the sun god,,TRUE,,,,,
glint,,TRUE,,,,,
glint-nest crane,0,,,,,,
gloom surgeon,1,,,,,,
gloomwidow,,TRUE,,,,,
gloomwidow,,TRUE,,,,,
glorious charge,,TRUE,,,,,
glory seeker,,TRUE,,,,,
gluttonous cyclops,,TRUE,,,,,
gluttonous zombie,1,,,,,,
gluttonous zombie,,TRUE,,,,,
gnarled scarhide,,TRUE,,,,,
gnarlid pack,,TRUE,,,,,
gnarlroot trapper,4,,,,,,
gnawing zombie,1,,,,,,
gobbling ooze,,TRUE,,,,,
gobhobbler rats,1,,,,,,
goblin arsonist,3,,,,,,
goblin assassin,1,,,,,,
goblin battle jester,1,,,,,,
goblin boom keg,,TRUE,,,,,
goblin brigand,,TRUE,,,,,
goblin digging team,1,,,,,,
goblin diplomats,1,,,,,,
goblin electromancer,5,,,,,,
goblin flectomancer,1,,,,,,
goblin freerunner,,TRUE,,,,,
goblin glider,,TRUE,,,,,
goblin glory chaser,4,,,,,,
goblin heelcutter,4,,,,,,
goblin hero,,TRUE,,,,,
goblin kaboomist,2,,,,,,
goblin lookout,1,,,,,,
goblin rabblemaster,1,,,,,,
goblin raider,,TRUE,,,,,
goblin rally,3,,,,,,
goblin roughrider,,TRUE,,,,,
goblin shortcutter,4,,,,,,
goblin test pilot,2,,,,,,
goblin war paint,4,,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
goblin warchief,1,,,,,,
goblinslide,3,,,,,,
god-favored general,4,,,,,,
gods willing,2,,,,,,
godsend,1,,,,,,
gold-forged sentinel,,TRUE,,,,,
golden hind,5,,,,,,
goldenhide ox,,TRUE,,,,,
goldnight castigator,1,,,,,,
goldnight commander,1,,,,,,
goldnight redeemer,2,,,,,,
golgari cluestone,5,,,,,,
golgari decoy,1,,,,,,
golgari germination,1,,,,,,
golgari guildgate,16,,,,,,
golgari guildmage,2,,,,,,
golgari keyrune,3,,,,,,
golgari longlegs,,TRUE,,,,,
golgari rot farm,2,,,,,,
golgari rotwurm,2,,,,,,
golgari signet,1,,,,,,
gone missing,,TRUE,,,,,
gore-house chainwalker,4,,,,,,
gore swine,,TRUE,,,,,
goretusk firebeast,,TRUE,,,,,
gorger wurm,,TRUE,,,,,
gorgon's head,3,,,,,,
gorilla chieftain,,TRUE,,,,,
graceblade artisan,3,,,,,,
graceful adept,1,,,,,,
grafdigger's cage,1,,,,,,
grand architect,1,,,,,,
grapeshot catapult,,TRUE,,,,,
grasp of darkness,1,,,,,,
grasp of the hieromancer,,TRUE,,,,,
grassland crusader,,TRUE,,,,,
grave betrayal,1,,,,,,
grave birthing,4,,Battle for Zendikar,$1.13 ,$0.14 ,$0.01 ,7/7/2017 10:26
grave bramble,1,,,,,,
grave sifter,1,,,,,,
gravedigger,0,,,,,,
gravegouger,,TRUE,,,,,
gravepurge,7,,,,,,
graverobber spider,1,,,,,,
gravetiller wurm,,TRUE,,,,,
gravitational shift,1,,,,,,
gray merchant of asphodel,3,,,,,,
gray ogre,,TRUE,,,,,
graypelt refuge,1,,,,,,
grazing gladehart,2,,,,,,
great-horn krushok,,TRUE,,,,,
great hart,,TRUE,,,,,
great teacher's decree,,TRUE,,,,,
greater good,1,,,,,,
greater realm of preservation,,TRUE,,,,,
greed,0,,,,,,
green mana battery,,TRUE,,,,,
greenside watcher,6,,,,,,
greenwarden of murasa,0,,Battle for Zendikar,$10.00 ,$1.00 ,$0.50 ,7/7/2017 10:26
gremlin mine,,TRUE,,,,,
gridlock,,TRUE,,,,,
griffin dreamfinder,,TRUE,,,,,
griffin protector,,TRUE,,,,,
grim backwoods,1,,,,,,
grim contest,6,,,,,,
grim flowering,3,,,,,,
grim guardian,6,,,,,,
grim haruspex,0,,,,,,
grim return,1,,,,,,
grim roustabout,4,,,,,,
grimclaw bats,,TRUE,,,,,
"grimgrin, corpse-born",1,,,,,,
grindclock,3,,,,,,
grip of amnesia,1,,,,,,
grip of chaos,1,,,,,,
grip of desolation,1,,Battle for Zendikar,$1.21 ,$0.20 ,$0.01 ,7/7/2017 10:26
grip of the roil,,TRUE,,,,,
griptide,4,,,,,,
grisly spectacle,1,,,,,,
grisly transformation,,TRUE,,,,,
grixis charm,1,,,,,,
grizzled outcasts,2,,,,,,
grizzly bears,,TRUE,,,,,
grotesque mutation,,TRUE,,,,,
ground assault,2,,,,,,
ground seal,1,,,,,,
groundshaker sliver,4,,,,,,
groundskeeper,1,,,,,,
grove of the guardian,1,,,,,,
grove rumbler,1,,Battle for Zendikar,$1.19 ,$0.20 ,$0.01 ,7/7/2017 10:26
grovetender druids,,,Battle for Zendikar,$1.21 ,$0.21 ,$0.01 ,7/7/2017 10:26
growing ranks,2,,,,,,
gruesome deformity,,TRUE,,,,,
gruesome discovery,,TRUE,,,,,
gruesome slaughter,1,,Battle for Zendikar,$1.40 ,$0.32 ,$0.08 ,7/7/2017 10:26
gruul charm,2,,,,,,
gruul cluestone,5,,,,,,
gruul guildgate,22,,,,,,
gruul guildmage,,TRUE,,,,,
gruul keyrune,3,,,,,,
gruul ragebeast,1,,,,,,
gruul signet,2,,,,,,
gruul turf,3,,,,,,
gryff's boon,1,,,,,,
gryff vanguard,,TRUE,,,,,
guard gomazoa,1,,,,,,
guardian automaton,,TRUE,,,,,
guardian lions,,TRUE,,,,,
guardian of tazeem,1,,Battle for Zendikar,$1.33 ,$0.31 ,$0.08 ,7/7/2017 10:26
guardian of the gateless,2,,,,,,
guardian of vitu-ghazi,,TRUE,,,,,
guardian shield-bearer,,TRUE,,,,,
guardian zendikon,,TRUE,,,,,
guardians of akrasa,2,,,,,,
guardians of meletis,0,,,,,,
gudul lurker,1,,,,,,
guild feud,1,,,,,,
guildscorn ward,2,,,,,,
guile,1,,,,,,
guise of fire,,TRUE,,,,,
gurmag angler,1,,,,,,
gurmag drowner,,TRUE,,,,,
gurmag swiftwing,2,,,,,,
gustcloak harrier,,TRUE,,,,,
gustcloak savior,1,,,,,,
gustcloak sentinel,,TRUE,,,,,
gustcloak skirmisher,,TRUE,,,,,
guttersnipe,1,,,,,,
guul draz overseer,,,Battle for Zendikar,$1.31 ,$0.29 ,$0.07 ,7/7/2017 10:26
gyre sage,0,,,,,,
haazda snare squad,,TRUE,,,,,
hagra sharpshooter,,TRUE,Battle for Zendikar,$1.21 ,$0.20 ,$0.01 ,7/7/2017 10:26
halcyon glaze,1,,,,,,
halimar depths,1,,,,,,
halimar tidecaller,1,,Battle for Zendikar,$1.33 ,$0.20 ,$0.01 ,7/7/2017 10:26
halimar tidecaller (f),1,,,,,,
hall of gemstone,1,,,,,,
hall of triumph,1,,,,,,
hall of triumph (f),1,,,,,,
hamlet goliath,1,,,,,,
hammer of purphoros,1,,,,,,
hammerhand,3,,,,,,
hand of death,3,,,,,,
hand of silumgar,0,,,,,,
hands of binding,3,,,,,,
hanweir lancer,1,,,,,,
hapless researcher,,TRUE,,,,,
harbinger of the hunt,2,,,,,,
hardened berserker,4,,,,,,
harmonize,2,,,,,,
harness by force,2,,,,,,
harness the storm,1,,,,,,
harrow,2,,,,,,
harrowing journey,1,,,,,,
harsh sustenance,3,,,,,,
harvester troll,1,,,,,,
harvestguard alseids,,TRUE,,,,,
haunted cloak,1,,,,,,
haunted fengraf,4,,,,,,
haunted guardian,,TRUE,,,,,
haunted plate mail,4,,,,,,
haunter of nightveil,5,,,,,,
havengul runebinder (f),1,,,,,,
havengul vampire,1,,,,,,
havenwood battleground,1,,,,,,
havoc festival,2,,,,,,
headless skaab,,TRUE,,,,,
heal,,TRUE,,,,,
healer of the pride,1,,,,,,
healing hands,,TRUE,,,,,
healing salve,,TRUE,,,,,
heart-piercer bow,,TRUE,,,,,
hearthfire hobgoblin,1,,,,,,
heartless summoning,1,,,,,,
heat ray,3,,,,,,
heavy infantry,,TRUE,,,,,
heavy mattock,,TRUE,,,,,
heckling fiends,,TRUE,,,,,
hedonist's trove,1,,,,,,
hedron alignment,1,,,,,,
hedron archive,,,Battle for Zendikar,$3.99 ,$0.98 ,$0.24 ,7/7/2017 10:26
hedron blade,,TRUE,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
hedron crab,1,,,,,,
hedron crawler,0,,,,,,
heir of falkenrath,,TRUE,,,,,
heir of the wilds,2,,,,,,
heliod's emissary,4,,,,,,
heliod's pilgrim,3,,,,,,
"heliod, god of the sun",1,,,,,,
hellhole flailer,1,,,,,,
hellhole rats,1,,,,,,
hellspark elemental,2,,,,,,
helm of the gods,2,,,,,,
helvault,1,,,,,,
herald of anafenza,2,,,,,,
herald of dromoka,4,,,,,,
herald of kozilek,0,,Battle for Zendikar,$1.36 ,$0.24 ,$0.01 ,7/7/2017 10:26
herald of leshrac,0,,,,,,
herald of the pantheon,1,,,,,,
herald of the pantheon,1,,,,,,
herald of torment,1,,,,,,
herdchaser dragon,3,,,,,,
hermit of the natterknolls,1,,,,,,
hero's blade,2,,,,,,
hero of goma fada,,,Battle for Zendikar,$1.35 ,$0.29 ,$0.08 ,7/7/2017 10:26
hero of ioras,2,,,,,,
hero of leina tower,2,,,,,,
heroe's podium,1,,,,,,
heroe's reunion,1,,,,,,
heroes' bane,2,,,,,,
hewed stone retainers,,TRUE,,,,,
hibernation's end,1,,,,,,
hidden dragonslayer,1,,,,,,
hidden guerrillas,,TRUE,,,,,
hidden herbalists,,TRUE,,,,,
hidden spider,,TRUE,,,,,
hidden strings,5,,,,,,
high priest of penance,2,,,,,,
high sentinels of arashin,1,,,,,,
high tide,1,,,,,,
highland game,,TRUE,,,,,
highland lake,2,,,,,,
highspire artisan,1,,,,,,
highspire artisan,,TRUE,,,,,
highspire mantis,2,,,,,,
hightide hermit,1,,,,,,
hijack,1,,,,,,
"hikari, twilight guardian",1,,,,,,
hill giant,,TRUE,,,,,
hindering touch,,TRUE,,,,,
hindervines,3,,,,,,
hinterland drake,1,,,,,,
hinterland harbor,1,,,,,,
hinterland hermit,1,,,,,,
hinterland logger,2,,,,,,
hired torturer,,TRUE,,,,,
hissing quagmire,1,,,,,,
hitchclaw recluse,,TRUE,,,,,
hive stirrings,2,,,,,,
"hixus, prison warden",2,,,,,,
hold at bay,,TRUE,,,,,
hold the gates,3,,,,,,
holdout settlement,2,,,,,,
hollowhenge beast,,TRUE,,,,,
hollowhenge scavenger,,TRUE,,,,,
hollowhenge spirit,,TRUE,,,,,
holy mantle,1,,,,,,
holy strength,,TRUE,,,,,
homarid warrior,,TRUE,,,,,
homicidal seclusion,1,,,,,,
honden of cleansing fire,1,,,,,,
honden of infinite rage,1,,,,,,
honden of life's web,1,,,,,,
honden of night's reach,1,,,,,,
honden of seeing winds,1,,,,,,
honor's reward,,TRUE,,,,,
honor guard,,TRUE,,,,,
honored hierarch,1,,,,,,
hooded assassin,,TRUE,,,,,
hooded horror,,TRUE,,,,,
hoofprints of the stag,1,,,,,,
hooting mandrills,1,,,,,,
hopeful eidolon,3,,,,,,
horde ambusher,,TRUE,,,,,
horde of notions,2,,,,,,
hordeling outburst,2,,,,,,
horizon chimera,4,,,,,,
horizon scholar,,TRUE,,,,,
horncaller's chant,4,,,,,,
horned troll,,TRUE,,,,,
hornet nest,1,,,,,,
horribly awry,2,,Battle for Zendikar,$1.30 ,$0.24 ,$0.05 ,7/7/2017 10:26
horror of the dim,,TRUE,,,,,
hot soup,,TRUE,,,,,
hound of griselbrand,1,,,,,,
hound of the farbogs,,TRUE,,,,,
hover barrier,2,,,,,,
hoverguard sweepers,2,,,,,,
howl from beyond,1,,,,,,
howl of the night pack,3,,,,,,
howlgeist,1,,,,,,
howling mine,0,,,,,,
howlpack wolf,,TRUE,,,,,
hubris,4,,,,,,
hulking cyclops,,TRUE,,,,,
hulking devil,,TRUE,,,,,
hull breach,2,,,,,,
human frailty,1,,,,,,
humble defector,1,,,,,,
humble the brute,3,,,,,,
humbler of mortals,4,,,,,,
hungering yeti,,TRUE,,,,,
hunt down,,TRUE,,,,,
hunt the hunter,,TRUE,,,,,
hunt the weak,4,,,,,,
hunter's ambush,4,,,,,,
hunter's prowess,1,,,,,,
hunting drake,,TRUE,,,,,
hunting pack,1,,,,,,
hunting sliver,1,,,,,,
hunting triad,1,,,,,,
hurkyl's recall,2,,,,,,
hurloon minotaur,,TRUE,,,,,
hurly-burly,,TRUE,,,,,
hurricane,2,,,,,,
hussar patrol,,TRUE,,,,,
hydra broodmaster,3,,,,,,
hydroform,,TRUE,,,,,
hydrolash,0,,,,,,
hydrosurge,,TRUE,,,,,
hypersonic dragon (f),1,,,,,,
hypnotic siren,1,,,,,,
hysterical blindness,,TRUE,,,,,
icatian javelineers,,TRUE,,,,,
icatian phalanx,,TRUE,,,,,
icatian scout,,TRUE,,,,,
ice over,1,,,,,,
icefall regent,1,,,,,,
icefeather aven,3,,,,,,
ichor explosion,,TRUE,,,,,
icy blast,1,,,,,,
identity crisis,1,,,,,,
ill-tempered cyclops,,TRUE,,,,,
illusionary armor,,TRUE,,,,,
illusionist's gambit,1,,,,,,
illusory angel,2,,,,,,
illusory gains,1,,,,,,
imagecrafter,,TRUE,,,,,
immerwolf,2,,,,,,
immolation,,TRUE,,,,,
impact tremors,5,,,,,,
imperious perfect,1,,,,,,
impetuous sunchaser,,TRUE,,,,,
implement of improvement,1,,,,,,
imposing sovereign,1,,,,,,
impromptu raid,1,,,,,,
improvised armor,,TRUE,,,,,
inaction injunction,4,,,,,,
incandescent soulstoke,1,,,,,,
incinerate,2,,,,,,
incite war,1,,,,,,
incorrigible youths,1,,,,,,
increasing confusion,1,,,,,,
increasing devotion,1,,,,,,
increasing vengeance,3,,,,,,
incremental growth,3,,,,,,
incubator drone,,TRUE,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
incursion specialist,,TRUE,,,,,
indestructibility,0,,,,,,
index,1,,,,,,
induce paranoia,1,,,,,,
indulgent aristocrat,0,,,,,,
indulgent tormentor,0,,,,,,
infectious bloodlust,,TRUE,,,,,
infectious rage,1,,,,,,
infectious rage,,TRUE,,,,,
infernal plunge,1,,,,,,
infernal scarring,,TRUE,,,,,
inferno,1,,,,,,
inferno fist,,TRUE,,,,,
infest,1,,,,,,
infinite obliteration,3,,,,,,
infinite reflection,3,,,,,,
inflame,,TRUE,,,,,
information dealer,1,,,,,,
infuse with the elements,,TRUE,Battle for Zendikar,$1.40 ,$0.20 ,$0.01 ,7/7/2017 10:26
inkfathom divers,,TRUE,,,,,
inkwell leviathan,1,,,,,,
inner struggle,,TRUE,,,,,
inquisitor's ox,,TRUE,,,,,
insatiable harpy,,TRUE,,,,,
insidious will,1,,,,,,
insolent neonate,4,,,,,,
inspiration,4,,,,,,
inspired charge,,TRUE,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
inspired charge,,TRUE,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
inspiring call,1,,,,,,
inspiring captain,1,,,,,,
instigator gang,1,,,,,,
instill energy,1,,,,,,
intangible virtue,5,,,,,,
intellectual offering,2,,,,,,
interpret the signs (f),1,,,,,,
into the roil,0,,,,,,
into the void,1,,,,,,
into the wilds,1,,,,,,
intrepid provisioner,,TRUE,,,,,
intruder alarm,1,,,,,,
inundate,0,,,,,,
invasive species,,TRUE,,,,,
invasive surgery,2,,,,,,
inventor's fair,1,,,,,,
inventor's goggles,1,,,,,,
invigorating falls,1,,,,,,
inviolability,1,,,,,,
invisbility,3,,,,,,
invocation of saint traft,1,,,,,,
"iroas, god of victory",1,,,,,,
iron lance,,TRUE,,,,,
iron league steed,,TRUE,,,,,
iron league steed,,TRUE,,,,,
ironclad revolutionary,1,,,,,,
ironclad revolutionary,,TRUE,,,,,
ironclaw orcs,,TRUE,,,,,
ironfist crusher,,TRUE,,,,,
ironroot treefolk,,TRUE,,,,,
ironshell beetle,,TRUE,,,,,
island (255 full art),,,Battle for Zendikar,$2.00 ,$0.32 ,$0.20 ,7/7/2017 10:26
island (255),,,Battle for Zendikar,$1.99 ,$0.21 ,$0.11 ,7/7/2017 10:26
island (256 full art),,,Battle for Zendikar,$2.00 ,$0.25 ,$0.14 ,7/7/2017 10:26
island (256),,,Battle for Zendikar,$1.99 ,$0.20 ,$0.10 ,7/7/2017 10:26
island (257 full art),,,Battle for Zendikar,$2.00 ,$0.25 ,$0.08 ,7/7/2017 10:26
island (257),,,Battle for Zendikar,$1.99 ,$0.22 ,$0.08 ,7/7/2017 10:26
island (258 full art),,,Battle for Zendikar,$2.00 ,$0.25 ,$0.10 ,7/7/2017 10:26
island (258),,,Battle for Zendikar,$1.99 ,$0.24 ,$0.07 ,7/7/2017 10:26
island (259 full art),,,Battle for Zendikar,$2.27 ,$0.28 ,$0.18 ,7/7/2017 10:26
island (259),,,Battle for Zendikar,$2.27 ,$0.24 ,$0.13 ,7/7/2017 10:26
isochron scepter,1,,,,,,
isolation zone,1,,,,,,
isperia's skywatch,,TRUE,,,,,
isperia the inscrutable,1,,,,,,
"isperia, supreme judge",1,,,,,,
ivory cup,,TRUE,,,,,
ivory tower,1,,,,,,
ivorytusk fortress,1,,,,,,
ivy lane denizen,2,,,,,,
ixidor's will,1,,,,,,
ixidron,2,,,,,,
izzet boilerworks,2,,,,,,
izzet charm,3,,,,,,
izzet chronarch,1,,,,,,
izzet cluestone,3,,,,,,
izzet guildgate,21,,,,,,
izzet keyrune,3,,,,,,
izzet signet,1,,,,,,
jace's archivist,2,,,,,,
jace's erasure,0,,,,,,
jace's ingenuity,0,,,,,,
jace's phantasm,0,,,,,,
jace's sanctum,0,,,,,,
jace's scrutiny,1,,,,,,
jace's scrutiny,,TRUE,,,,,
jace beleren,1,,,,,,
"jace, memory adept",1,,,,,,
jaddi offshoot,,,Battle for Zendikar,$1.18 ,$0.19 ,$0.02 ,7/7/2017 10:26
jandor's saddlebags,1,,,,,,
janjeet sentry,1,,,,,,
jar of eyeballs,1,,,,,,
jarad's orders,3,,,,,,
jayemdae tome,3,,,,,,
jeering instigator,1,,,,,,
jelenn sphinx,2,,,,,,
jeskai banner,4,,,,,,
jeskai barricade,2,,,,,,
jeskai charm,2,,,,,,
jeskai runemark,,TRUE,,,,,
jeskai sage,,TRUE,,,,,
jeskai student,,TRUE,,,,,
jeskai windscout,,TRUE,,,,,
jhessian thief,,TRUE,,,,,
jhoira of the ghitu,1,,,,,,
joint assault,,TRUE,,,,,
jokulhaups,1,,,,,,
"jor kadeen, the prevailer",1,,,,,,
joraga invocation,,TRUE,,,,,
joraga treespeaker,1,,,,,,
jorubai murk lurker,,TRUE,,,,,
juggernaut,,TRUE,,,,,
jungle hollow,2,,,,,,
junun efreet,,TRUE,,,,,
jushi apprentice,2,,,,,,
just the wind,,TRUE,,,,,
justice,,TRUE,,,,,
jwar isle avenger,,TRUE,,,,,
jwar isle refuge,1,,,,,,
kalastria healer,4,,Battle for Zendikar,$1.14 ,$0.15 ,$0.05 ,7/7/2017 10:26
kalastria nightwatch,,TRUE,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
kalemne's captain,1,,,,,,
kalonian behemoth,1,,,,,,
kalonian hydra,1,,,,,,
kalonian tusker,4,,,,,,
kalonian twingrove,1,,,,,,
kamahl's desire,,TRUE,,,,,
kami of ancient law,1,,,,,,
kami of the cresent moon,2,,,,,,
kapsho kitefins,,TRUE,,,,,
karametra's acolyte,2,,,,,,
karametra's favor,3,,,,,,
karametra's favor (f),1,,,,,,
"karametra, god of harvest",1,,,,,,
karma,2,,,,,,
kavu aggressor,,TRUE,,,,,
kazandu refuge,1,,,,,,
kederekt leviathan,1,,,,,,
keeneye aven,,TRUE,,,,,
keening apparition,4,,,,,,
keep watch,2,,,,,,
keeper of the lens,,TRUE,,,,,
keepsake gorgon,,TRUE,,,,,
keldon berserker,,TRUE,,,,,
"keranos, god of storms",1,,,,,,
kessig dire swine,,TRUE,,,,,
kessig forgemaster,1,,,,,,
kessig malcontents,1,,,,,,
kessig recluse,,TRUE,,,,,
kessig wolf run,1,,,,,,
keymaster rogue,,TRUE,,,,,
