card_name,qty,is_bulk,tcg_set_name,tcg_h,tcg_m,tcg_l,tcg_date
briarpack alpha,,TRUE,,,,,
briarpack alpha (f),1,,,,,,
briber's purse,,TRUE,,,,,
brightstone ritual,1,,,,,,
brilliant plan,1,,,,,,
brilliant spectrum,,TRUE,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
brimstone volley,1,,,,,,
brindle boar,,TRUE,,,,,
brine elemental,2,,,,,,
bring low,1,,,,,,
bring low,,TRUE,,,,,
bring to light,,,Battle for Zendikar,$5.49 ,$0.48 ,$0.09 ,7/7/2017 10:26
broken ambitions,1,,,,,,
broken concentration,1,,,,,,
bronze sable,,TRUE,,,,,
bronzebeak moa,3,,,,,,
brood butcher,,,Battle for Zendikar,$1.50 ,$0.30 ,$0.09 ,7/7/2017 10:26
brood keeper,3,,,,,,
brood monitor,1,,Battle for Zendikar,$1.18 ,$0.19 ,$0.01 ,7/7/2017 10:26
brood monitor,2,,Battle for Zendikar,$1.18 ,$0.19 ,$0.01 ,7/7/2017 10:26
brood monitor (f),1,,,,,,
broodhunter wurm,,TRUE,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
brothers of fire,,TRUE,,,,,
browbeat,2,,,,,,
brushstrider,,TRUE,,,,,
brutal expulsion,3,,Battle for Zendikar,$2.49 ,$0.33 ,$0.09 ,7/7/2017 10:26
brutal hordechief,1,,,,,,
brute strength,1,,,,,,
bubbling cauldron,3,,,,,,
bump in the night,4,,,,,,
burden of guilt,,TRUE,,,,,
buried ruin,1,,,,,,
burn away,1,,,,,,
burning-tree bloodscale,,TRUE,,,,,
burning-tree emissary,3,,,,,,
burning anger,1,,,,,,
burning earth,1,,,,,,
burning oil,,TRUE,,,,,
burning vengeance,1,,,,,,
burnished hart,0,,,,,,
burrenton bombardier,,TRUE,,,,,
burrenton shield-bearers,,TRUE,,,,,
burst of strength,3,,,,,,
butcher's glee,,TRUE,,,,,
butcher of the horde,1,,,,,,
bygone bishop,4,,,,,,
byway courier,5,,,,,,
cabal executioner,,TRUE,,,,,
cabal slaver,,TRUE,,,,,
cabal surgeon,,TRUE,,,,,
cabal trainee,,TRUE,,,,,
cacking counterpart,3,,,,,,
cagemail,,TRUE,,,,,
calculated dismissal,6,,,,,,
call,1,,,,,,
call of the conclave,2,,,,,,
call of the kindred,1,,,,,,
call of the nightwing,2,,,,,,
call the bloodline,3,,,,,,
call the scions,4,,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
call to mind,1,,,,,,
call to serve,2,,,,,,
cancel,4,,,,,,
canopy claws,,TRUE,,,,,
canopy crawler,,TRUE,,,,,
canopy gorger,,TRUE,,,,,
canopy spider,,TRUE,,,,,
canopy vista,2,,Battle for Zendikar,$9.99 ,$1.82 ,$0.95 ,7/7/2017 10:26
canyon lurkers,,TRUE,,,,,
canyon minotaur,,TRUE,,,,,
canyon wildcat,,TRUE,,,,,
capashen knight,,TRUE,,,,,
capashen knight (f),1,,,,,,
capsize,1,,,,,,
captain's claws,1,,,,,,
captain of the mists,1,,,,,,
captain of the watch,2,,,,,,
carapace,1,,,,,,
carbonize,1,,,,,,
careful considerations,1,,,,,,
carnage gladiator,3,,,,,,
carnival hellsteed,1,,,,,,
